type,fraction,nr_seeds,overlap
kmers,0.0,1,29.0
mixedstrobes,0.1,1,26.4029
mixedstrobes,0.2,1,24.1499
mixedstrobes,0.3,1,22.4623
mixedstrobes,0.4,1,21.0299
mixedstrobes,0.5,1,20.0738
mixedstrobes,0.6,1,19.3569
mixedstrobes,0.7,1,19.2388
mixedstrobes,0.8,1,19.4859
mixedstrobes,0.9,1,20.024
mixedstrobes,1.0,1,20.9412
kmers,0.0,2,57.0
mixedstrobes,0.1,2,51.9099
mixedstrobes,0.2,2,47.7003
mixedstrobes,0.3,2,44.3422
mixedstrobes,0.4,2,41.3821
mixedstrobes,0.5,2,39.4268
mixedstrobes,0.6,2,38.24
mixedstrobes,0.7,2,37.719
mixedstrobes,0.8,2,38.0253
mixedstrobes,0.9,2,39.0007
mixedstrobes,1.0,2,40.923
kmers,0.0,3,84.0
mixedstrobes,0.1,3,76.4921
mixedstrobes,0.2,3,70.2136
mixedstrobes,0.3,3,65.1805
mixedstrobes,0.4,3,60.8155
mixedstrobes,0.5,3,57.9874
mixedstrobes,0.6,3,56.248
mixedstrobes,0.7,3,55.2726
mixedstrobes,0.8,3,55.5761
mixedstrobes,0.9,3,57.1002
mixedstrobes,1.0,3,59.7445
kmers,0.0,4,110.0
mixedstrobes,0.1,4,100.0857
mixedstrobes,0.2,4,91.9899
mixedstrobes,0.3,4,85.0162
mixedstrobes,0.4,4,79.6429
mixedstrobes,0.5,4,75.997
mixedstrobes,0.6,4,73.3093
mixedstrobes,0.7,4,72.1006
mixedstrobes,0.8,4,72.2883
mixedstrobes,0.9,4,74.141
mixedstrobes,1.0,4,77.2994
kmers,0.0,5,135.0
mixedstrobes,0.1,5,122.8952
mixedstrobes,0.2,5,113.0067
mixedstrobes,0.3,5,104.3763
mixedstrobes,0.4,5,98.1589
mixedstrobes,0.5,5,92.8907
mixedstrobes,0.6,5,89.6479
mixedstrobes,0.7,5,88.1552
mixedstrobes,0.8,5,88.5672
mixedstrobes,0.9,5,90.2112
mixedstrobes,1.0,5,93.9946
kmers,0.0,15,330.0
mixedstrobes,0.1,15,304.0561
mixedstrobes,0.2,15,281.0792
mixedstrobes,0.3,15,260.0704
mixedstrobes,0.4,15,243.1132
mixedstrobes,0.5,15,226.6749
mixedstrobes,0.6,15,214.0568
mixedstrobes,0.7,15,205.1174
mixedstrobes,0.8,15,197.7372
mixedstrobes,0.9,15,192.4229
mixedstrobes,1.0,15,191.0519
kmers,0.0,25,425.0
mixedstrobes,0.1,25,398.5282
mixedstrobes,0.2,25,375.9634
mixedstrobes,0.3,25,353.151
mixedstrobes,0.4,25,332.5148
mixedstrobes,0.5,25,312.6779
mixedstrobes,0.6,25,295.3068
mixedstrobes,0.7,25,277.3118
mixedstrobes,0.8,25,262.3087
mixedstrobes,0.9,25,248.7857
mixedstrobes,1.0,25,236.422
