w_min,w_max,seeding,N_m,stddev_est,m
25,50,k-mers,1.0,0.0,1
25,50,k-mers,1.0,0.0,2
25,50,k-mers,0.99222,0.08786052355870766,3
25,50,k-mers,0.96348,0.18758008849573884,4
25,50,k-mers,0.91239,0.28272687863011886,5
25,50,k-mers,0.83936,0.3671985708030421,6
25,50,k-mers,0.74879,0.4337090452134485,7
25,50,k-mers,0.65275,0.47609603810582246,8
25,50,k-mers,0.55991,0.4963978161713953,9
25,50,k-mers,0.476,0.49942366784117326,10
25,50,k-mers,0.39541,0.4889385768174345,11
25,50,k-mers,0.32577,0.4686618259465575,12
25,50,k-mers,0.26334,0.4404452796884425,13
25,50,k-mers,0.2137,0.40991744290754184,14
25,50,k-mers,0.16978,0.3754394113571195,15
25,50,k-mers,0.13187,0.33834938022729927,16
25,50,k-mers,0.10796,0.31032988641130266,17
25,50,k-mers,0.08467,0.2783899982037944,18
25,50,k-mers,0.0657,0.2477569575206703,19
25,50,k-mers,0.05055,0.2190769214223341,20
25,50,k-mers,0.03925,0.1941891796675671,21
25,50,k-mers,0.02962,0.16953659074076857,22
25,50,k-mers,0.02367,0.15201885113362815,23
25,50,k-mers,0.01785,0.1324061082426248,24
25,50,k-mers,0.0131,0.11370307823463327,25
25,50,minstrobes,1.0,0.0,1
25,50,minstrobes,0.99815,0.042971822162856464,2
25,50,minstrobes,0.98753,0.11097071280294189,3
25,50,minstrobes,0.95421,0.20902936611857068,4
25,50,minstrobes,0.89942,0.30077177992607784,5
25,50,minstrobes,0.82135,0.38305897391885135,6
25,50,minstrobes,0.7277,0.4451434712542594,7
25,50,minstrobes,0.62769,0.48342038010431965,8
25,50,minstrobes,0.52736,0.4992508692033616,9
25,50,minstrobes,0.43986,0.49637000352572797,10
25,50,minstrobes,0.35935,0.47980993893419704,11
25,50,minstrobes,0.29046,0.45397465612083776,12
25,50,minstrobes,0.23245,0.4223943625332364,13
25,50,minstrobes,0.18421,0.38765535711548377,14
25,50,minstrobes,0.14418,0.35127215602723855,15
25,50,minstrobes,0.11399,0.3177991187841886,16
25,50,minstrobes,0.08883,0.28449820930917463,17
25,50,minstrobes,0.06931,0.2539805581140524,18
25,50,minstrobes,0.05273,0.223493953162007,19
25,50,minstrobes,0.04092,0.19810490554266388,20
25,50,minstrobes,0.03138,0.17434246642728526,21
25,50,minstrobes,0.0241,0.15335967527344732,22
25,50,minstrobes,0.01807,0.13320463618044198,23
25,50,minstrobes,0.0131,0.11370307823462862,24
25,50,minstrobes,0.01089,0.10378539348093263,25
25,50,hybridstrobes,1.0,0.0,1
25,50,hybridstrobes,1.0,0.0,2
25,50,hybridstrobes,0.9998,0.014140721339446074,3
25,50,hybridstrobes,0.99711,0.053680982666089054,4
25,50,hybridstrobes,0.98739,0.11158399482008388,5
25,50,hybridstrobes,0.9651,0.1835265375903887,6
25,50,hybridstrobes,0.92699,0.2601529163778485,7
25,50,hybridstrobes,0.86552,0.3411673044125609,8
25,50,hybridstrobes,0.79307,0.4051048939475566,9
25,50,hybridstrobes,0.70638,0.4554199112905141,10
25,50,hybridstrobes,0.61394,0.48684461217083974,11
25,50,hybridstrobes,0.52342,0.49945120242145696,12
25,50,hybridstrobes,0.43886,0.49624782155688657,13
25,50,hybridstrobes,0.3592,0.47976594293464336,14
25,50,hybridstrobes,0.29205,0.4547051764611187,15
25,50,hybridstrobes,0.23291,0.4226853816963419,16
25,50,hybridstrobes,0.18391,0.3874107792765758,17
25,50,hybridstrobes,0.14503,0.3521310822688898,18
25,50,hybridstrobes,0.11328,0.31693475921716696,19
25,50,hybridstrobes,0.08832,0.2837597180712417,20
25,50,hybridstrobes,0.06681,0.24969265888270198,21
25,50,hybridstrobes,0.05101,0.22001813538888998,22
25,50,hybridstrobes,0.03918,0.1940230079142126,23
25,50,hybridstrobes,0.029,0.16780643611026774,24
25,50,hybridstrobes,0.02248,0.14823848892928954,25
25,50,randstrobes,1.0,0.0,1
25,50,randstrobes,1.0,0.0,2
25,50,randstrobes,0.99975,0.015809411753757864,3
25,50,randstrobes,0.99742,0.05072813420573411,4
25,50,randstrobes,0.98916,0.10354947802852979,5
25,50,randstrobes,0.96959,0.17171264339016212,6
25,50,randstrobes,0.93542,0.24578328584336162,7
25,50,randstrobes,0.87968,0.3253353617420281,8
25,50,randstrobes,0.81135,0.3912303381643962,9
25,50,randstrobes,0.72807,0.4449540145904136,10
25,50,randstrobes,0.64022,0.4799357786207119,11
25,50,randstrobes,0.55307,0.4971755978522769,12
25,50,randstrobes,0.46626,0.49886031351431254,13
25,50,randstrobes,0.38441,0.486455498375962,14
25,50,randstrobes,0.31416,0.4641804545648207,15
25,50,randstrobes,0.25238,0.4343781021183648,16
25,50,randstrobes,0.20165,0.40123219898229945,17
25,50,randstrobes,0.16166,0.3681386211741823,18
25,50,randstrobes,0.1257,0.33151095004568915,19
25,50,randstrobes,0.0963,0.29500222033048773,20
25,50,randstrobes,0.07486,0.2631653100236501,21
25,50,randstrobes,0.05832,0.2343475572732343,22
25,50,randstrobes,0.04336,0.20366617392198288,23
25,50,randstrobes,0.03384,0.1808171850238834,24
25,50,randstrobes,0.02602,0.15919472227440487,25
25,50,altstrobes,1.0,0.0,1
25,50,altstrobes,1.0,0.0,2
25,50,altstrobes,0.99997,0.005477143416055099,3
25,50,altstrobes,0.99964,0.018970250393706586,4
25,50,altstrobes,0.99675,0.05691605660967654,5
25,50,altstrobes,0.98515,0.12095237699193469,6
25,50,altstrobes,0.95897,0.19835962063895535,7
25,50,altstrobes,0.91241,0.28269770409379996,8
25,50,altstrobes,0.84966,0.3574043709860352,9
25,50,altstrobes,0.76959,0.4210952765111315,10
25,50,altstrobes,0.68227,0.46559386497218225,11
25,50,altstrobes,0.59012,0.49181133130459903,12
25,50,altstrobes,0.50111,0.49999876789856507,13
25,50,altstrobes,0.41741,0.49313171861055133,14
25,50,altstrobes,0.342,0.4743795948395949,15
25,50,altstrobes,0.27667,0.44735188733246284,16
25,50,altstrobes,0.22281,0.416131834759023,17
25,50,altstrobes,0.17373,0.37887713984857013,18
25,50,altstrobes,0.13581,0.34258669545076864,19
25,50,altstrobes,0.10692,0.3090115104650206,20
25,50,altstrobes,0.08373,0.27698246713492175,21
25,50,altstrobes,0.06294,0.2428550110663234,22
25,50,altstrobes,0.04862,0.2150723031915668,23
25,50,altstrobes,0.03677,0.18819661819475228,24
25,50,altstrobes,0.02789,0.16465766881624833,25
25,50,mixedstrobes,1.0,0.0,1
25,50,mixedstrobes,1.0,0.0,2
25,50,mixedstrobes,0.99991,0.00948640606341267,3
25,50,mixedstrobes,0.99888,0.03344765462631408,4
25,50,mixedstrobes,0.99337,0.08115443980457174,5
25,50,mixedstrobes,0.97808,0.1464223808028872,6
25,50,mixedstrobes,0.948,0.22202702538221059,7
25,50,mixedstrobes,0.89623,0.30496194369143553,8
25,50,mixedstrobes,0.83309,0.3728954972914636,9
25,50,mixedstrobes,0.75327,0.4311082313059926,10
25,50,mixedstrobes,0.66408,0.47231107715141873,11
25,50,mixedstrobes,0.57714,0.49401358321404865,12
25,50,mixedstrobes,0.48811,0.4998586079084208,13
25,50,mixedstrobes,0.40487,0.4908668690181285,14
25,50,mixedstrobes,0.332,0.47093099282154355,15
25,50,mixedstrobes,0.26708,0.4424344850937218,16
25,50,mixedstrobes,0.21467,0.4105932185263657,17
25,50,mixedstrobes,0.17207,0.377441273710323,18
25,50,mixedstrobes,0.13437,0.3410494144544884,19
25,50,mixedstrobes,0.10305,0.30402417255890674,20
25,50,mixedstrobes,0.07976,0.27092128450885566,21
25,50,mixedstrobes,0.06216,0.24144592438046103,22
25,50,mixedstrobes,0.0467,0.21099552127962518,23
25,50,mixedstrobes,0.03615,0.18666327303451608,24
25,50,mixedstrobes,0.02759,0.16379496909229138,25
