w_min,w_max,type,x,m,y,mean_error_y_est,analysis,ymetric
49,50,Optimal,1,-,64.72228438552024,-,altstrobes-analysis,Entropy
49,50,Optimal,2,-,64.72228438552024,-,altstrobes-analysis,Entropy
49,50,Optimal,3,-,64.72228438552024,-,altstrobes-analysis,Entropy
49,50,Optimal,4,-,64.72228438552024,-,altstrobes-analysis,Entropy
49,50,Optimal,5,-,64.72228438552024,-,altstrobes-analysis,Entropy
49,50,Optimal,6,-,64.72228438552024,-,altstrobes-analysis,Entropy
49,50,Optimal,7,-,64.72228438552024,-,altstrobes-analysis,Entropy
49,50,Optimal,8,-,64.72228438552024,-,altstrobes-analysis,Entropy
49,50,Optimal,9,-,64.72228438552024,-,altstrobes-analysis,Entropy
49,50,Optimal,10,-,64.72228438552024,-,altstrobes-analysis,Entropy
49,50,Optimal,11,-,64.72228438552024,-,altstrobes-analysis,Entropy
49,50,Optimal,12,-,64.72228438552024,-,altstrobes-analysis,Entropy
49,50,Optimal,13,-,64.72228438552024,-,altstrobes-analysis,Entropy
49,50,Optimal,14,-,64.72228438552024,-,altstrobes-analysis,Entropy
49,50,Optimal,15,-,64.72228438552024,-,altstrobes-analysis,Entropy
49,50,Optimal,16,-,64.72228438552024,-,altstrobes-analysis,Entropy
49,50,Optimal,17,-,64.72228438552024,-,altstrobes-analysis,Entropy
49,50,Optimal,18,-,64.72228438552024,-,altstrobes-analysis,Entropy
49,50,Optimal,19,-,64.72228438552024,-,altstrobes-analysis,Entropy
49,50,Optimal,20,-,64.72228438552024,-,altstrobes-analysis,Entropy
49,50,Optimal,21,-,64.72228438552024,-,altstrobes-analysis,Entropy
49,50,Optimal,22,-,64.72228438552024,-,altstrobes-analysis,Entropy
49,50,Optimal,23,-,64.72228438552024,-,altstrobes-analysis,Entropy
49,50,Optimal,24,-,64.72228438552024,-,altstrobes-analysis,Entropy
49,50,Optimal,25,-,64.72228438552024,-,altstrobes-analysis,Entropy
49,50,Optimal,26,-,64.72228438552024,-,altstrobes-analysis,Entropy
49,50,Optimal,27,-,64.72228438552024,-,altstrobes-analysis,Entropy
49,50,Optimal,28,-,64.72228438552024,-,altstrobes-analysis,Entropy
49,50,Optimal,29,-,64.72228438552024,-,altstrobes-analysis,Entropy
49,50,Optimal,30,-,64.72228438552024,-,altstrobes-analysis,Entropy
49,50,k-mers,30,-,21.589239838262607,-,altstrobes-analysis,Entropy
49,50,altstrobes,1,-,27.492824247181492,-,altstrobes-analysis,Entropy
49,50,altstrobes,2,-,30.871788590570176,-,altstrobes-analysis,Entropy
49,50,altstrobes,3,-,33.11267263311835,-,altstrobes-analysis,Entropy
49,50,altstrobes,4,-,34.571715683797,-,altstrobes-analysis,Entropy
49,50,altstrobes,5,-,35.444196001570766,-,altstrobes-analysis,Entropy
49,50,altstrobes,6,-,35.86232554951802,-,altstrobes-analysis,Entropy
49,50,altstrobes,7,-,35.92661826930056,-,altstrobes-analysis,Entropy
49,50,altstrobes,8,-,35.719575186147566,-,altstrobes-analysis,Entropy
49,50,altstrobes,9,-,35.312889456539196,-,altstrobes-analysis,Entropy
49,50,altstrobes,10,-,34.771865496007074,-,altstrobes-analysis,Entropy
49,50,altstrobes,11,-,34.158616282631115,-,altstrobes-analysis,Entropy
49,50,altstrobes,12,-,33.53494579117175,-,altstrobes-analysis,Entropy
49,50,altstrobes,13,-,32.96585926911099,-,altstrobes-analysis,Entropy
